default_constraint_rankings
--------------------------------------------------
ranking	suffix	prefix	infix	nonconcat_cv	nonconcat_unattested
contiguity >> align_right_root >> align_left_root >> c_adj_v >> align_left_residue >> align_right_residue	0	10	0	0	0
contiguity >> align_right_root >> align_left_root >> c_adj_v >> align_right_residue >> align_left_residue	0	10	0	0	0
contiguity >> align_right_root >> align_left_root >> align_left_residue >> c_adj_v >> align_right_residue	0	10	0	0	0
contiguity >> align_right_root >> align_left_root >> align_left_residue >> align_right_residue >> c_adj_v	0	10	0	0	0
contiguity >> align_right_root >> align_left_root >> align_right_residue >> c_adj_v >> align_left_residue	0	10	0	0	0
contiguity >> align_right_root >> align_left_root >> align_right_residue >> align_left_residue >> c_adj_v	0	10	0	0	0
contiguity >> align_right_root >> align_left_residue >> c_adj_v >> align_left_root >> align_right_residue	0	10	0	0	0
contiguity >> align_right_root >> align_left_residue >> c_adj_v >> align_right_residue >> align_left_root	0	10	0	0	0
contiguity >> align_right_root >> align_left_residue >> align_left_root >> c_adj_v >> align_right_residue	0	10	0	0	0
contiguity >> align_right_root >> align_left_residue >> align_left_root >> align_right_residue >> c_adj_v	0	10	0	0	0
contiguity >> align_right_root >> align_left_residue >> align_right_residue >> c_adj_v >> align_left_root	0	10	0	0	0
contiguity >> align_right_root >> align_left_residue >> align_right_residue >> align_left_root >> c_adj_v	0	10	0	0	0
contiguity >> align_right_root >> align_right_residue >> c_adj_v >> align_left_root >> align_left_residue	0	10	0	0	0
contiguity >> align_right_root >> align_right_residue >> c_adj_v >> align_left_residue >> align_left_root	0	10	0	0	0
contiguity >> align_right_root >> align_right_residue >> align_left_root >> c_adj_v >> align_left_residue	0	10	0	0	0
contiguity >> align_right_root >> align_right_residue >> align_left_root >> align_left_residue >> c_adj_v	0	10	0	0	0
contiguity >> align_right_root >> align_right_residue >> align_left_residue >> c_adj_v >> align_left_root	0	10	0	0	0
contiguity >> align_right_root >> align_right_residue >> align_left_residue >> align_left_root >> c_adj_v	0	10	0	0	0
contiguity >> align_right_residue >> c_adj_v >> align_left_root >> align_left_residue >> align_right_root	10	0	0	0	0
contiguity >> align_right_residue >> c_adj_v >> align_left_root >> align_right_root >> align_left_residue	10	0	0	0	0
contiguity >> align_right_residue >> c_adj_v >> align_left_residue >> align_left_root >> align_right_root	10	0	0	0	0
contiguity >> align_right_residue >> c_adj_v >> align_left_residue >> align_right_root >> align_left_root	10	0	0	0	0
contiguity >> align_right_residue >> c_adj_v >> align_right_root >> align_left_root >> align_left_residue	10	0	0	0	0
contiguity >> align_right_residue >> c_adj_v >> align_right_root >> align_left_residue >> align_left_root	10	0	0	0	0
contiguity >> align_right_residue >> align_left_root >> c_adj_v >> align_left_residue >> align_right_root	10	0	0	0	0
contiguity >> align_right_residue >> align_left_root >> c_adj_v >> align_right_root >> align_left_residue	10	0	0	0	0
contiguity >> align_right_residue >> align_left_root >> align_left_residue >> c_adj_v >> align_right_root	10	0	0	0	0
contiguity >> align_right_residue >> align_left_root >> align_left_residue >> align_right_root >> c_adj_v	10	0	0	0	0
contiguity >> align_right_residue >> align_left_root >> align_right_root >> c_adj_v >> align_left_residue	10	0	0	0	0
contiguity >> align_right_residue >> align_left_root >> align_right_root >> align_left_residue >> c_adj_v	10	0	0	0	0
contiguity >> align_right_residue >> align_left_residue >> c_adj_v >> align_left_root >> align_right_root	10	0	0	0	0
contiguity >> align_right_residue >> align_left_residue >> c_adj_v >> align_right_root >> align_left_root	10	0	0	0	0
contiguity >> align_right_residue >> align_left_residue >> align_left_root >> c_adj_v >> align_right_root	10	0	0	0	0
contiguity >> align_right_residue >> align_left_residue >> align_left_root >> align_right_root >> c_adj_v	10	0	0	0	0
contiguity >> align_right_residue >> align_left_residue >> align_right_root >> c_adj_v >> align_left_root	10	0	0	0	0
contiguity >> align_right_residue >> align_left_residue >> align_right_root >> align_left_root >> c_adj_v	10	0	0	0	0
contiguity >> align_right_residue >> align_right_root >> c_adj_v >> align_left_root >> align_left_residue	10	0	0	0	0
contiguity >> align_right_residue >> align_right_root >> c_adj_v >> align_left_residue >> align_left_root	10	0	0	0	0
contiguity >> align_right_residue >> align_right_root >> align_left_root >> c_adj_v >> align_left_residue	10	0	0	0	0
contiguity >> align_right_residue >> align_right_root >> align_left_root >> align_left_residue >> c_adj_v	10	0	0	0	0
contiguity >> align_right_residue >> align_right_root >> align_left_residue >> c_adj_v >> align_left_root	10	0	0	0	0
contiguity >> align_right_residue >> align_right_root >> align_left_residue >> align_left_root >> c_adj_v	10	0	0	0	0
c_adj_v >> contiguity >> align_left_root >> align_left_residue >> align_right_root >> align_right_residue	3	1	4	1	1
c_adj_v >> contiguity >> align_left_root >> align_left_residue >> align_right_residue >> align_right_root	3	1	4	1	1
c_adj_v >> contiguity >> align_left_root >> align_right_root >> align_left_residue >> align_right_residue	3	1	4	1	1
c_adj_v >> contiguity >> align_left_root >> align_right_root >> align_right_residue >> align_left_residue	3	1	4	1	1
c_adj_v >> contiguity >> align_left_root >> align_right_residue >> align_left_residue >> align_right_root	3	1	4	1	1
c_adj_v >> contiguity >> align_left_root >> align_right_residue >> align_right_root >> align_left_residue	3	1	4	1	1
c_adj_v >> contiguity >> align_left_residue >> align_left_root >> align_right_root >> align_right_residue	1	3	2	1	3
c_adj_v >> contiguity >> align_left_residue >> align_left_root >> align_right_residue >> align_right_root	1	3	2	1	3
c_adj_v >> contiguity >> align_left_residue >> align_right_root >> align_left_root >> align_right_residue	1	3	2	1	3
c_adj_v >> contiguity >> align_left_residue >> align_right_root >> align_right_residue >> align_left_root	1	3	2	1	3
c_adj_v >> contiguity >> align_left_residue >> align_right_residue >> align_left_root >> align_right_root	1	3	2	1	3
c_adj_v >> contiguity >> align_left_residue >> align_right_residue >> align_right_root >> align_left_root	1	3	2	1	3
c_adj_v >> contiguity >> align_right_root >> align_left_root >> align_left_residue >> align_right_residue	1	3	4	1	1
c_adj_v >> contiguity >> align_right_root >> align_left_root >> align_right_residue >> align_left_residue	1	3	4	1	1
c_adj_v >> contiguity >> align_right_root >> align_left_residue >> align_left_root >> align_right_residue	1	3	4	1	1
c_adj_v >> contiguity >> align_right_root >> align_left_residue >> align_right_residue >> align_left_root	1	3	4	1	1
c_adj_v >> contiguity >> align_right_root >> align_right_residue >> align_left_root >> align_left_residue	1	3	4	1	1
c_adj_v >> contiguity >> align_right_root >> align_right_residue >> align_left_residue >> align_left_root	1	3	4	1	1
c_adj_v >> contiguity >> align_right_residue >> align_left_root >> align_left_residue >> align_right_root	3	1	2	1	3
c_adj_v >> contiguity >> align_right_residue >> align_left_root >> align_right_root >> align_left_residue	3	1	2	1	3
c_adj_v >> contiguity >> align_right_residue >> align_left_residue >> align_left_root >> align_right_root	3	1	2	1	3
c_adj_v >> contiguity >> align_right_residue >> align_left_residue >> align_right_root >> align_left_root	3	1	2	1	3
c_adj_v >> contiguity >> align_right_residue >> align_right_root >> align_left_root >> align_left_residue	3	1	2	1	3
c_adj_v >> contiguity >> align_right_residue >> align_right_root >> align_left_residue >> align_left_root	3	1	2	1	3
c_adj_v >> align_left_root >> contiguity >> align_left_residue >> align_right_root >> align_right_residue	3	1	4	1	1
c_adj_v >> align_left_root >> contiguity >> align_left_residue >> align_right_residue >> align_right_root	3	1	4	1	1
c_adj_v >> align_left_root >> contiguity >> align_right_root >> align_left_residue >> align_right_residue	3	1	4	1	1
c_adj_v >> align_left_root >> contiguity >> align_right_root >> align_right_residue >> align_left_residue	3	1	4	1	1
c_adj_v >> align_left_root >> contiguity >> align_right_residue >> align_left_residue >> align_right_root	3	1	4	1	1
c_adj_v >> align_left_root >> contiguity >> align_right_residue >> align_right_root >> align_left_residue	3	1	4	1	1
c_adj_v >> align_left_root >> align_left_residue >> contiguity >> align_right_root >> align_right_residue	1	1	5	1	2
c_adj_v >> align_left_root >> align_left_residue >> contiguity >> align_right_residue >> align_right_root	1	1	5	1	2
c_adj_v >> align_left_root >> align_left_residue >> align_right_root >> contiguity >> align_right_residue	1	1	5	1	2
c_adj_v >> align_left_root >> align_left_residue >> align_right_root >> align_right_residue >> contiguity	1	1	4	1	3
c_adj_v >> align_left_root >> align_left_residue >> align_right_residue >> contiguity >> align_right_root	1	1	2	1	5
c_adj_v >> align_left_root >> align_left_residue >> align_right_residue >> align_right_root >> contiguity	1	1	2	1	5
c_adj_v >> align_left_root >> align_right_root >> contiguity >> align_left_residue >> align_right_residue	1	1	6	1	1
c_adj_v >> align_left_root >> align_right_root >> contiguity >> align_right_residue >> align_left_residue	1	1	6	1	1
c_adj_v >> align_left_root >> align_right_root >> align_left_residue >> contiguity >> align_right_residue	1	1	5	1	2
c_adj_v >> align_left_root >> align_right_root >> align_left_residue >> align_right_residue >> contiguity	1	1	4	1	3
c_adj_v >> align_left_root >> align_right_root >> align_right_residue >> contiguity >> align_left_residue	1	1	5	1	2
c_adj_v >> align_left_root >> align_right_root >> align_right_residue >> align_left_residue >> contiguity	1	1	4	1	3
c_adj_v >> align_left_root >> align_right_residue >> contiguity >> align_left_residue >> align_right_root	3	1	2	1	3
c_adj_v >> align_left_root >> align_right_residue >> contiguity >> align_right_root >> align_left_residue	3	1	2	1	3
c_adj_v >> align_left_root >> align_right_residue >> align_left_residue >> contiguity >> align_right_root	2	1	1	1	5
c_adj_v >> align_left_root >> align_right_residue >> align_left_residue >> align_right_root >> contiguity	2	1	1	1	5
c_adj_v >> align_left_root >> align_right_residue >> align_right_root >> contiguity >> align_left_residue	2	1	2	1	4
c_adj_v >> align_left_root >> align_right_residue >> align_right_root >> align_left_residue >> contiguity	2	1	1	1	5
c_adj_v >> align_left_residue >> contiguity >> align_left_root >> align_right_root >> align_right_residue	1	3	1	1	4
